budget,genres,homepage,id,keywords,language,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,lead_actor_1,lead_actor_2,lead_actor_3,director,release_year
150000000,"Action, Adventure, Science Fiction, Thriller",http://www.jurassicworld.com/,135397,"monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror",en,English,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",418.708552,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",United States of America,06-09-2015,1513528810,124,English,Released,The park is open.,Jurassic World,6.5,8662,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Colin Trevorrow,2015
200000000,"Family, Fantasy, Adventure",http://disney.go.com/wonderland/,12155,"based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d",en,English,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason Â to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,"Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The",United States of America,03-03-2010,1025491110,108,English,Released,You're invited to a very important date.,Alice in Wonderland,6.4,4645,Mia Wasikowska,Johnny Depp,Anne Hathaway,Tim Burton,2010
200000000,"Fantasy, Adventure, Family",http://www.ozthegreatandpowerfulmovie.com,68728,"circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d",en,English,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",46.985445,"Walt Disney Pictures, Roth Films",United States of America,03-07-2013,491868548,130,English,Released,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530,James Franco,Mila Kunis,Rachel Weisz,Sam Raimi,2013
170000000,"Adventure, Action, Science Fiction",http://disney.go.com/tron/,20526,"artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy",en,English,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,"Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios, Kontsept Film Company",United States of America,12-10-2010,400062763,125,English,Released,The Game Has Changed.,TRON: Legacy,6.3,2841,Garrett Hedlund,Jeff Bridges,Olivia Wilde,Joseph Kosinski,2010
200000000,"Animation, Family, Adventure, Comedy",http://www.disney.go.com/cars/,49013,"car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger",en,English,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,"Walt Disney Pictures, Pixar Animation Studios",United States of America,06-11-2011,559852396,106,"English, ???, Italiano, FranÃ§ais",Released,Ka-ciao!,Cars 2,5.8,2033,Owen Wilson,Larry the Cable Guy,Michael Caine,John Lasseter,2011
190000000,Action,http://www.furious7.com/,168259,"car race, speed, revenge, suspense, car, race, muscle car",en,English,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,102.322217,"Universal Pictures, Original Film, Fuji Television Network, Dentsu, One Race Films, China Film Co., QuÃ©bec Production Services Tax Credit, Media Rights Capital (MRC), Abu Dhabi Film Commission, Colorado Office of Film, Television & Media","Japan, United States of America",04-01-2015,1506249360,137,English,Released,Vengeance Hits Home,Furious 7,7.3,4176,Vin Diesel,Paul Walker,Dwayne Johnson,James Wan,2015
190000000,"Action, Adventure, Science Fiction",Unknown,54138,"spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d",en,English,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",78.291018,"Paramount Pictures, Skydance Productions, Bad Robot, Kurtzman/Orci",United States of America,05-05-2013,467365246,132,English,Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418,Chris Pine,Zachary Quinto,Zoe Saldana,J.J. Abrams,2013
105000000,"Drama, Romance",Unknown,64682,"based on novel, infidelity, obsession, hope, 3d",en,English,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",61.196071,"Village Roadshow Pictures, Bazmark Films, Warner Bros., A&E Television Networks, Red Wagon Entertainment, Spectrum Films","United States of America, Australia",05-10-2013,351040419,143,English,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Baz Luhrmann,2013
180000000,"Action, Science Fiction, Adventure",http://www.pacificrimmovie.com/,68726,"dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d",en,English,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroesÂa washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)Âwho are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",56.523205,"Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions","United States of America, Canada",07-11-2013,407602906,131,English,Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794,Idris Elba,Charlie Hunnam,Charlie Day,Guillermo del Toro,2013
185000000,"Action, Adventure, Science Fiction",http://www.startrekmovie.com/,188927,"sequel, stranded, hatred, space opera",en,English,Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",65.352913,"Paramount Pictures, Bad Robot, Perfect Storm Entertainment, Alibaba Pictures Group, Skydance Media, Sneaky Shark, Huahua Media",United States of America,07-07-2016,343471816,122,English,Released,Unknown,Star Trek Beyond,6.6,2568,Chris Pine,Zachary Quinto,Karl Urban,Justin Lin,2016
140000000,"Action, Comedy, Crime, Thriller",Unknown,5174,ambassador,en,English,Rush Hour 3,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",22.57178,New Line Cinema,United States of America,08-08-2007,258022233,91,"Latin, English, FranÃ§ais, ???, ???",Released,The Rush Is On!,Rush Hour 3,6.1,783,Chris Tucker,Jackie Chan,Hiroyuki Sanada,Brett Ratner,2007
200000000,"Action, Adventure, Science Fiction",http://www.sonypictures.com/movies/2012,14161,"civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction  of mankind",en,English,2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,"Columbia Pictures, Centropolis Entertainment, The Mark Gordon Company, Farewell Productions","Canada, United States of America",10-10-2009,769653595,158,"English, FranÃ§ais, ??????, Italiano, Latin, ???, PortuguÃªs, P??????, ",Released,We Were Warned.,2012,5.6,4903,John Cusack,Amanda Peet,Chiwetel Ejiofor,Roland Emmerich,2009
200000000,"Animation, Drama",http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,17979,"holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas",en,English,A Christmas Carol,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",39.744242,"Walt Disney, ImageMovers",United States of America,11-04-2009,325233863,96,English,Released,Season's Greedings,A Christmas Carol,6.6,1095,Gary Oldman,Jim Carrey,Steve Valentine,Robert Zemeckis,2009
176000003,"Science Fiction, Fantasy, Action, Adventure",http://www.jupiterascending.com,76757,"jupiter, space, woman director, 3d, interspecies romance",en,English,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyÂ",85.36908,"Village Roadshow Pictures, Dune Entertainment, Anarchos Productions, Warner Bros.",United States of America,02-04-2015,183987723,124,English,Released,Expand your universe.,Jupiter Ascending,5.2,2768,Mila Kunis,Channing Tatum,Sean Bean,Lilly Wachowski,2015
180000000,"Adventure, Family, Fantasy",Unknown,411,"saving the world, witch, based on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tale figure, battle, narnia, fantasy world, duringcreditsstinger",en,English,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",67.391328,"Walt Disney, Walden Media","United Kingdom, United States of America",12-07-2005,748806957,143,"English, Deutsch",Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,William Moseley,Anna Popplewell,Skandar Keynes,Andrew Adamson,2005
145000000,"Adventure, Action, Fantasy",http://www.themummy.com/,1735,[],en,English,The Mummy: Tomb of the Dragon Emperor,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",60.034162,"Universal Pictures, China Film Co-Production Corporation, Relativity Media, Alphaville Films, Sommers Company, The","Germany, United States of America",07-01-2008,401128639,112,"English, ???, ",Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Brendan Fraser,Jet Li,John Hannah,Rob Cohen,2008
175000000,"Action, Adventure, Crime, Fantasy, Science Fiction",http://www.suicidesquad.com/,297761,"dc comics, shared universe, anti hero, secret mission, villain, superhero, supervillain, dc extended universe",en,English,Suicide Squad,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",90.23792,"DC Comics, Dune Entertainment, Atlas Entertainment, Warner Bros., DC Entertainment",United States of America,08-02-2016,745000000,123,English,Released,Worst Heroes Ever,Suicide Squad,5.9,7458,Will Smith,Margot Robbie,Joel Kinnaman,David Ayer,2016
175000000,"Fantasy, Comedy, Family",http://www.evanalmighty.com/,2698,"father son relationship, daily life, married couple, support, father, marriage, faith, baustelle, rescue, animal, nature, duringcreditsstinger, noah's ark",en,English,Evan Almighty,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,27.082182,"Columbia Pictures, Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Original Film, Playtone, Relativity Media",United States of America,06-09-2007,173000000,96,English,Released,A comedy of biblical proportions,Evan Almighty,5.3,1151,Steve Carell,Lauren Graham,John Goodman,Tom Shadyac,2007
175000000,"Adventure, Action, Thriller, Science Fiction",http://www.gijoemovie.com/,14869,"terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra",en,English,G.I. Joe: The Rise of Cobra,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",32.852443,"Paramount Pictures, Spyglass Entertainment, Di Bonaventura Pictures, Hasbro, Kontsept Film Company","Czech Republic, United States of America",08-04-2009,302469017,118,"English, FranÃ§ais, ",Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962,Dennis Quaid,Channing Tatum,Marlon Wayans,Stephen Sommers,2009
175000000,"Drama, Comedy, Animation, Family",http://movies.disney.com/inside-out,150540,"dream, cartoon, imaginary friend, animation, family, moving, kids, unicorn, duringcreditsstinger, 3d, emotions",en,English,Inside Out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",128.655964,"Walt Disney Pictures, Pixar Animation Studios",United States of America,06-09-2015,857611174,94,English,Released,Meet the little voices inside your head.,Inside Out,8.0,6560,Amy Poehler,Phyllis Smith,Richard Kind,Pete Docter,2015
175000000,"Family, Adventure, Drama, Fantasy",http://movies.disney.com/the-jungle-book-2016,278927,"based on novel, snake, wolf, elephant, tiger, feral child, panther, remake, bear, jungle, talking animal, orphan, animal, talking to animals",en,English,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",94.199316,"Walt Disney Pictures, Walt Disney Studios Motion Pictures, Fairview Entertainment, Moving Picture Company (MPC)","United Kingdom, United States of America",04-07-2016,966550600,106,English,Released,Unknown,The Jungle Book,6.7,2892,Neel Sethi,Bill Murray,Ben Kingsley,Jon Favreau,2016
175000000,"Drama, Action, Adventure, Fantasy",Unknown,64686,"japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d",en,English,47 Ronin,"Based on the original 1941 movie from Japan, and from ancient JapanÂs most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born.  Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of the 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",41.796339,"Mid Atlantic Films, Stuber Productions, Universal, Moving Picture Company (MPC), H2F Entertainment",United States of America,12-06-2013,150962475,119,"English, ???",Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,Carl Rinsch,2013
165000000,"Family, Animation, Comedy, Adventure",http://disney.go.com/wreck-it-ralph,82690,"support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject",en,English,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",62.341073,Walt Disney Animation Studios,United States of America,11-01-2012,471222889,108,English,Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570,John C. Reilly,Sarah Silverman,Jack McBrayer,Rich Moore,2012
165000000,"Adventure, Animation, Family, Fantasy",Unknown,5255,"santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas",en,English,The Polar Express,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",47.323228,"Golden Mean, Playtone, ImageMovers",United States of America,11-10-2004,305875730,100,English,Released,This holiday season... believe.,The Polar Express,6.4,1474,Tom Hanks,Michael Jeter,Nona Gaye,Robert Zemeckis,2004
165000000,"Fantasy, Adventure, Animation, Family",http://www.howtotrainyourdragon.com/,10191,"flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior",en,English,How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast Â which he names Toothless Â much to the chagrin of his warrior father",67.263269,"DreamWorks Animation, Vertigo Entertainment, Mad Hatter Entertainment",United States of America,03-05-2010,494878759,98,English,Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227,Jay Baruchel,Gerard Butler,Craig Ferguson,Chris Sanders,2010
200000000,"Action, Thriller, Science Fiction",Unknown,296,"saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist",en,English,Terminator 3: Rise of the Machines,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor Â just like he promised.",69.405188,"Columbia Pictures, Intermedia Films, Warner Bros., C-2 Pictures, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Mostow/Lieberman Productions","Germany, United Kingdom, United States of America",07-02-2003,435000000,109,English,Released,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143,Arnold Schwarzenegger,Nick Stahl,Claire Danes,Jonathan Mostow,2003
165000000,"Adventure, Drama, Science Fiction",http://www.interstellarmovie.net/,157336,"saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity",en,English,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,724.247784,"Paramount Pictures, Legendary Pictures, Warner Bros., Syncopy, Lynda Obst Productions","Canada, United States of America, United Kingdom",11-05-2014,675120017,169,English,Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867,Matthew McConaughey,Jessica Chastain,Anne Hathaway,Christopher Nolan,2014
